Round,NumSelected,DownBytes,UpBytes,TotalBytes,CumulativeBytes
0,3,42408,42408,84816,84816
1,3,42408,42408,84816,169632
2,3,42408,42408,84816,254448
3,3,42408,42408,84816,339264
4,3,42408,42408,84816,424080
5,3,42408,42408,84816,508896
6,3,42408,42408,84816,593712
7,3,42408,42408,84816,678528
8,3,42408,42408,84816,763344
9,3,42408,42408,84816,848160
10,3,42408,42408,84816,932976
11,3,42408,42408,84816,1017792
12,3,42408,42408,84816,1102608
13,3,42408,42408,84816,1187424
14,3,42408,42408,84816,1272240
15,3,42408,42408,84816,1357056
16,3,42408,42408,84816,1441872
17,3,42408,42408,84816,1526688
18,3,42408,42408,84816,1611504
19,3,42408,42408,84816,1696320
20,3,42408,42408,84816,1781136
21,3,42408,42408,84816,1865952
22,3,42408,42408,84816,1950768
23,3,42408,42408,84816,2035584
24,3,42408,42408,84816,2120400
25,3,42408,42408,84816,2205216
26,3,42408,42408,84816,2290032
27,3,42408,42408,84816,2374848
28,3,42408,42408,84816,2459664
29,3,42408,42408,84816,2544480
30,3,42408,42408,84816,2629296
31,3,42408,42408,84816,2714112
32,3,42408,42408,84816,2798928
33,3,42408,42408,84816,2883744
34,3,42408,42408,84816,2968560
35,3,42408,42408,84816,3053376
36,3,42408,42408,84816,3138192
37,3,42408,42408,84816,3223008
38,3,42408,42408,84816,3307824
39,3,42408,42408,84816,3392640
40,3,42408,42408,84816,3477456
41,3,42408,42408,84816,3562272
42,3,42408,42408,84816,3647088
43,3,42408,42408,84816,3731904
44,3,42408,42408,84816,3816720
45,3,42408,42408,84816,3901536
46,3,42408,42408,84816,3986352
47,3,42408,42408,84816,4071168
48,3,42408,42408,84816,4155984
49,3,42408,42408,84816,4240800
50,3,42408,42408,84816,4325616
51,3,42408,42408,84816,4410432
52,3,42408,42408,84816,4495248
53,3,42408,42408,84816,4580064
54,3,42408,42408,84816,4664880
55,3,42408,42408,84816,4749696
56,3,42408,42408,84816,4834512
57,3,42408,42408,84816,4919328
58,3,42408,42408,84816,5004144
59,3,42408,42408,84816,5088960
60,3,42408,42408,84816,5173776
61,3,42408,42408,84816,5258592
62,3,42408,42408,84816,5343408
63,3,42408,42408,84816,5428224
64,3,42408,42408,84816,5513040
65,3,42408,42408,84816,5597856
66,3,42408,42408,84816,5682672
67,3,42408,42408,84816,5767488
68,3,42408,42408,84816,5852304
69,3,42408,42408,84816,5937120
70,3,42408,42408,84816,6021936
71,3,42408,42408,84816,6106752
72,3,42408,42408,84816,6191568
73,3,42408,42408,84816,6276384
74,3,42408,42408,84816,6361200
75,3,42408,42408,84816,6446016
76,3,42408,42408,84816,6530832
77,3,42408,42408,84816,6615648
78,3,42408,42408,84816,6700464
79,3,42408,42408,84816,6785280
80,3,42408,42408,84816,6870096
81,3,42408,42408,84816,6954912
82,3,42408,42408,84816,7039728
83,3,42408,42408,84816,7124544
84,3,42408,42408,84816,7209360
85,3,42408,42408,84816,7294176
86,3,42408,42408,84816,7378992
87,3,42408,42408,84816,7463808
88,3,42408,42408,84816,7548624
89,3,42408,42408,84816,7633440
90,3,42408,42408,84816,7718256
91,3,42408,42408,84816,7803072
92,3,42408,42408,84816,7887888
93,3,42408,42408,84816,7972704
94,3,42408,42408,84816,8057520
95,3,42408,42408,84816,8142336
96,3,42408,42408,84816,8227152
