Round,ClientIndex,ExecTimeSec
0,0,28.209671
0,1,26.500914
0,2,24.786516
1,0,1.808358
1,1,3.468222
1,2,5.338664
2,0,6.228894
2,1,4.233766
2,2,2.845632
3,0,5.640101
3,1,1.823780
3,2,3.627698
4,0,4.737806
4,1,3.362269
4,2,1.543565
5,0,2.535356
5,1,5.762143
5,2,4.004081
6,0,1.493458
6,1,3.007298
6,2,4.385558
7,0,1.380698
7,1,2.810951
7,2,4.172076
8,0,2.230309
8,1,3.685879
8,2,5.401124
9,0,1.966551
9,1,3.321989
9,2,4.660176
10,0,1.663840
10,1,2.992902
10,2,4.426934
11,0,4.669873
11,1,3.288389
11,2,1.791427
12,0,3.183179
12,1,1.749856
12,2,4.521929
13,0,2.179000
13,1,4.977129
13,2,3.619312
14,0,3.761847
14,1,2.400009
14,2,5.178004
15,0,2.039884
15,1,4.783859
15,2,3.423064
16,0,1.603754
16,1,2.970465
16,2,4.314740
17,0,2.090235
17,1,4.820140
17,2,3.479164
18,0,4.729703
18,1,3.357623
18,2,1.926742
19,0,2.320475
19,1,3.695348
19,2,5.055819
20,0,3.078887
20,1,1.537830
20,2,4.613786
21,0,3.060491
21,1,1.652615
21,2,4.392128
22,0,4.297994
22,1,1.632259
22,2,2.967120
23,0,2.922088
23,1,4.320725
23,2,1.538307
24,0,1.572443
24,1,2.957541
24,2,4.303827
25,0,5.653922
25,1,4.300726
25,2,2.862132
26,0,4.876638
26,1,3.537438
26,2,2.175952
27,0,4.263410
27,1,2.784593
27,2,1.422393
28,0,1.380317
28,1,4.517325
28,2,3.058735
29,0,1.611281
29,1,3.085140
29,2,4.406305
30,0,3.899032
30,1,5.219814
30,2,2.501706
31,0,2.895653
31,1,1.545691
31,2,4.226037
32,0,4.173901
32,1,1.425264
32,2,2.753390
33,0,2.904009
33,1,4.332942
33,2,1.582308
34,0,1.625357
34,1,3.053884
34,2,4.487527
35,0,1.474717
35,1,4.433206
35,2,3.070664
36,0,2.221194
36,1,3.660079
36,2,5.271645
37,0,1.402307
37,1,3.026340
37,2,4.745362
38,0,2.807243
38,1,4.215099
38,2,5.541713
39,0,1.915850
39,1,4.776307
39,2,3.321082
40,0,1.534240
40,1,4.308166
40,2,2.876196
41,0,4.234761
41,1,1.511874
41,2,2.841181
42,0,2.113490
42,1,4.901611
42,2,3.552439
43,0,2.183561
43,1,4.902893
43,2,3.501434
44,0,2.283417
44,1,3.822386
44,2,5.252683
45,0,3.251534
45,1,4.781893
45,2,1.313468
46,0,4.423682
46,1,2.997449
46,2,1.621052
47,0,3.147077
47,1,1.731769
47,2,4.512851
48,0,3.761955
48,1,2.445422
48,2,5.198742
49,0,3.028040
49,1,1.625535
49,2,4.382750
50,0,4.596851
50,1,1.748405
