Round, Client Index, Execution Time (s)
0, 0, 37.3963
0, 1, 21.8858
0, 2, 13.2809
0, 3, 28.7166
1, 0, 4.0988
1, 1, 27.7394
1, 2, 14.0322
1, 3, 19.2881
2, 0, 17.2945
2, 1, 30.6649
2, 2, 22.1826
2, 3, 7.3012
3, 0, 16.5179
3, 1, 25.0019
3, 2, 33.0754
3, 3, 9.7595
4, 0, 21.2239
4, 1, 29.6843
4, 2, 36.2622
4, 3, 12.7428
5, 0, 18.5727
5, 1, 31.9278
5, 2, 12.0013
5, 3, 23.4429
6, 0, 30.7229
6, 1, 22.2362
6, 2, 10.3834
6, 3, 16.9540
7, 0, 31.3915
7, 1, 21.4152
7, 2, 4.2338
7, 3, 16.1730
8, 0, 20.4638
8, 1, 8.0938
8, 2, 12.0039
8, 3, 28.9048
9, 0, 10.2173
9, 1, 5.3501
9, 2, 16.7617
9, 3, 28.7142
10, 0, 24.8756
10, 1, 31.6489
10, 2, 16.8365
10, 3, 6.8160
11, 0, 26.5787
11, 1, 14.1420
11, 2, 8.8572
11, 3, 18.0720
12, 0, 25.9208
12, 1, 30.7749
12, 2, 22.0279
12, 3, 10.1291
13, 0, 6.6783
13, 1, 30.3235
13, 2, 16.6639
13, 3, 21.9009
14, 0, 29.3932
14, 1, 7.4370
14, 2, 34.2746
14, 3, 19.3508
15, 0, 8.6218
15, 1, 21.5086
15, 2, 16.6574
15, 3, 31.4785
16, 0, 23.4892
16, 1, 11.4678
16, 2, 16.7132
16, 3, 4.9133
17, 0, 24.0747
17, 1, 27.9945
17, 2, 5.6137
17, 3, 17.5279
18, 0, 25.7697
18, 1, 7.2062
18, 2, 20.5126
18, 3, 12.0671
19, 0, 8.6053
19, 1, 15.3828
19, 2, 19.2954
19, 3, 24.5748
20, 0, 13.3536
20, 1, 20.1418
20, 2, 8.4840
20, 3, 25.4047
21, 0, 24.1325
21, 1, 20.2068
21, 2, 6.8596
21, 3, 15.3218
22, 0, 20.6876
22, 1, 24.5989
22, 2, 13.8978
22, 3, 8.6397
23, 0, 12.2730
23, 1, 17.1471
23, 2, 5.4873
23, 3, 25.6714
24, 0, 15.0228
24, 1, 35.4774
24, 2, 23.5112
24, 3, 6.9663
25, 0, 13.0327
25, 1, 21.5374
25, 2, 28.3441
25, 3, 9.1012
26, 0, 38.6797
26, 1, 30.1836
26, 2, 20.1232
26, 3, 12.0958
27, 0, 17.4894
27, 1, 22.7279
27, 2, 4.1587
27, 3, 10.7159
28, 0, 4.0292
28, 1, 19.0916
28, 2, 10.5896
28, 3, 27.5683
29, 0, 6.1610
29, 1, 31.1426
29, 2, 16.1604
29, 3, 24.5999
30, 0, 29.9957
30, 1, 18.0784
30, 2, 10.0291
30, 3, 36.7741
31, 0, 26.8934
31, 1, 15.0320
31, 2, 8.2202
31, 3, 20.3123
32, 0, 16.8015
32, 1, 11.9483
32, 2, 5.3917
32, 3, 23.5695
33, 0, 20.9494
33, 1, 12.4625
33, 2, 5.8772
33, 3, 31.0162
34, 0, 22.6414
34, 1, 5.8256
34, 2, 32.7005
34, 3, 17.7724
35, 0, 7.1203
35, 1, 33.6494
35, 2, 15.1701
35, 3, 21.7298
36, 0, 24.3972
36, 1, 15.8913
36, 2, 5.8227
36, 3, 30.9880
37, 0, 5.1297
37, 1, 11.9270
37, 2, 27.0061
37, 3, 20.4238
38, 0, 6.9587
38, 1, 15.3981
38, 2, 19.3055
38, 3, 24.5535
39, 0, 13.3178
39, 1, 25.6631
39, 2, 17.2066
39, 3, 6.5672
40, 0, 7.1071
40, 1, 28.5022
40, 2, 15.5751
40, 3, 20.4438
41, 0, 20.7350
41, 1, 5.4599
41, 2, 27.3216
41, 3, 12.2460
42, 0, 10.0583
42, 1, 16.8442
42, 2, 25.3390
42, 3, 30.2072
43, 0, 4.3701
43, 1, 22.9253
43, 2, 12.8627
43, 3, 29.7413
44, 0, 17.8922
44, 1, 31.6128
44, 2, 23.1343
44, 3, 11.1228
45, 0, 5.3451
45, 1, 32.5266
45, 2, 13.8059
45, 3, 20.5986
46, 0, 7.2133
46, 1, 25.4651
46, 2, 20.5783
46, 3, 15.2958
47, 0, 25.6272
47, 1, 17.2155
47, 2, 12.3706
47, 3, 35.6259
48, 0, 13.4753
48, 1, 20.0341
48, 2, 4.9969
48, 3, 31.9565
49, 0, 5.4695
49, 1, 24.0318
49, 2, 9.3709
49, 3, 17.4471
