Round,ClientIndex,ExecutionTimeSeconds
0,0,5.781259
0,1,21.989899
0,2,35.199450
0,3,16.173915
0,4,39.997323
1,0,19.764863
1,1,43.533810
1,2,37.763809
1,3,4.504520
1,4,24.564774
2,0,40.680535
2,1,34.858791
2,2,45.492233
2,3,19.416070
2,4,6.392330
3,0,13.170980
3,1,5.452646
3,2,27.992326
3,3,22.195636
3,4,17.392553
4,0,25.771261
4,1,36.174307
4,2,40.928609
4,3,20.095041
4,4,4.778280
5,0,23.441330
5,1,15.678410
5,2,42.380681
5,3,36.595604
5,4,11.407375
6,0,39.512588
6,1,13.278246
6,2,34.741078
6,3,21.644499
6,4,9.065666
7,0,36.827490
7,1,23.679165
7,2,45.864192
7,3,15.305033
7,4,11.058348
8,0,46.965061
8,1,33.771616
8,2,54.769942
8,3,18.373286
8,4,10.061627
9,0,27.608169
9,1,8.588304
9,2,43.137827
9,3,38.053315
9,4,21.798408
10,0,22.646569
10,1,17.628639
10,2,41.253727
10,3,4.418473
10,4,30.923211
11,0,21.414612
11,1,37.777813
11,2,27.261909
11,3,12.904317
11,4,5.141556
12,0,32.814834
12,1,14.654836
12,2,41.812021
12,3,8.867554
12,4,27.792713
13,0,46.765399
13,1,24.454113
13,2,4.231748
13,3,19.641065
13,4,33.601735
14,0,46.467207
14,1,20.945774
14,2,36.444271
14,3,7.758536
14,4,42.241327
15,0,12.599687
15,1,35.773915
15,2,7.827368
15,3,26.729504
15,4,20.961055
16,0,8.668751
16,1,20.611826
16,2,26.453287
16,3,16.394117
16,4,36.932944
17,0,7.761328
17,1,37.141188
17,2,27.254096
17,3,16.803466
17,4,32.968385
18,0,46.961439
18,1,15.793928
18,2,42.179546
18,3,23.504429
18,4,33.902822
19,0,34.355686
19,1,26.672536
19,2,42.638230
19,3,47.663720
19,4,16.200900
20,0,18.296162
20,1,27.643738
20,2,10.600667
20,3,22.515711
20,4,5.846537
21,0,14.195606
21,1,9.991277
21,2,24.568285
21,3,38.317932
21,4,32.356050
22,0,33.221067
22,1,46.232519
22,2,28.230890
22,3,24.025506
22,4,8.683372
23,0,28.454130
23,1,8.717986
23,2,19.231530
23,3,23.417607
23,4,13.509593
24,0,22.215028
24,1,44.959568
24,2,13.266474
24,3,49.098136
24,4,29.888621
25,0,39.619116
25,1,52.615722
25,2,20.276277
25,3,5.123054
25,4,29.217868
26,0,41.303764
26,1,32.363987
26,2,15.230695
26,3,51.617810
26,4,28.179427
27,0,32.420390
27,1,17.934375
27,2,47.543789
27,3,10.345893
27,4,26.822113
28,0,5.142868
28,1,44.845804
28,2,34.636498
28,3,19.367636
28,4,11.056876
29,0,43.276167
29,1,16.286899
29,2,34.389184
29,3,26.108507
29,4,21.976475
30,0,5.394480
30,1,43.667478
30,2,28.751177
30,3,38.962124
30,4,20.530171
31,0,30.257308
31,1,12.965864
31,2,25.307873
31,3,40.517441
31,4,17.124903
32,0,10.860101
32,1,16.569451
32,2,34.635178
32,3,25.488262
32,4,30.461552
33,0,41.856485
33,1,11.769663
33,2,33.623393
33,3,20.671989
33,4,6.048478
34,0,5.741366
34,1,13.957463
34,2,29.013618
34,3,24.260206
34,4,33.167953
35,0,31.659786
35,1,53.521196
35,2,10.869109
35,3,40.499219
35,4,16.520501
36,0,8.935488
36,1,17.847687
36,2,31.312397
36,3,25.521974
36,4,13.131448
37,0,25.585188
37,1,17.321910
37,2,4.944411
37,3,12.585531
37,4,40.905279
38,0,46.811400
38,1,36.442269
38,2,27.506317
38,3,13.489054
38,4,19.242100
39,0,4.246063
39,1,17.245629
39,2,42.225405
39,3,33.222825
39,4,24.921961
40,0,25.979980
40,1,39.139756
40,2,15.526605
40,3,49.165824
40,4,43.377815
41,0,31.460683
41,1,21.007175
41,2,36.296377
41,3,4.998060
41,4,13.324863
42,0,30.355152
42,1,38.104597
42,2,26.127858
42,3,10.705828
42,4,5.840559
43,0,49.543085
43,1,41.768070
43,2,15.616329
43,3,23.880698
43,4,28.636583
44,0,33.928508
44,1,29.162812
44,2,6.201587
44,3,16.139965
44,4,10.421398
45,0,26.875450
45,1,22.518929
45,2,13.475459
45,3,5.160020
