Round,DurationSeconds
0,41.260372
1,44.657637
2,46.612671
3,29.115083
4,42.043243
5,43.497793
6,40.636405
7,46.977192
8,55.879931
9,44.260567
10,42.358346
11,38.893934
12,42.923869
13,47.875073
14,47.588570
15,36.883770
16,38.047386
17,38.242243
18,48.063904
19,48.800057
20,28.756408
21,39.474199
22,47.341281
23,29.573609
24,50.197192
25,53.732815
26,52.727460
27,48.655486
28,45.942820
29,44.374155
30,44.762799
31,41.626239
32,35.738273
33,42.957081
34,34.267886
35,54.624923
36,32.412275
37,42.009023
38,47.922168
39,43.347209
40,50.284748
41,37.409584
42,39.216779
43,50.668344
44,35.045312
45,32.824962
46,44.582338
47,39.195170
48,46.984811
49,45.390702
50,34.167780
51,42.437723
52,28.630628
53,52.394645
54,43.570500
55,54.516165
56,37.276299
57,50.899943
58,35.208821
59,45.322255
60,30.942256
61,35.644773
62,42.980181
63,49.523360
64,41.667214
65,32.918991
66,45.367666
67,37.457165
68,37.590081
69,31.525781
70,36.292965
71,41.081699
72,33.170193
73,49.183014
74,37.708955
75,52.047598
76,52.625298
77,38.332830
78,45.271203
79,36.451688
80,39.838137
81,32.031754
82,30.897902
83,43.399915
84,49.385152
85,37.558639
86,37.996019
87,43.620769
88,44.737520
89,49.886631
90,41.258862
91,41.728697
92,42.068230
93,48.979014
94,37.623358
95,49.039668
96,40.838178
97,29.887256
98,45.060173
99,38.324869
100,45.523970
101,42.495805
102,46.257319
103,50.825047
104,46.780453
105,50.842718
106,46.238234
107,45.703142
108,47.455813
109,43.150089
110,41.794804
111,52.770281
112,35.913045
113,46.710788
114,41.370580
115,58.263948
116,41.207575
117,45.784865
118,48.305045
119,47.043284
120,39.342907
121,46.552837
122,43.261417
123,42.625022
124,46.282498
125,49.028738
126,57.457183
127,41.494743
128,39.315896
129,39.448774
130,54.048568
131,53.346323
132,41.919620
133,33.466274
134,47.627339
135,46.751216
136,47.651744
137,48.436005
138,40.569864
139,50.807318
140,42.979048
141,50.908210
142,43.286908
143,42.170042
144,44.525040
145,35.639644
146,40.351404
147,42.926667
148,53.850338
149,44.187956
150,38.408370
151,51.105151
152,55.291408
153,48.881339
154,35.779175
155,52.893168
156,42.457909
157,44.498574
158,44.636148
159,48.032279
160,45.757649
161,48.330251
162,33.642020
163,45.686263
164,43.393062
165,37.924951
166,36.335137
167,46.259525
168,56.187661
169,43.558624
170,51.275273
171,52.174884
172,32.209370
173,40.076210
174,58.442519
175,46.898875
176,45.010567
177,49.420688
178,47.088186
179,50.059633
180,47.014397
181,52.941474
182,58.846948
183,43.387809
184,47.968054
185,47.344730
186,43.061617
187,56.111694
188,55.309328
189,52.285996
190,57.136358
191,58.538973
192,56.226653
193,46.159119
194,46.810416
195,46.614173
196,46.355997
197,56.711138
198,47.851137
199,42.631938
200,50.623104
201,43.416001
202,45.251158
203,47.672348
204,51.140486
205,32.544806
206,38.887242
207,48.527092
208,60.291718
209,53.635836
210,56.970155
211,45.223526
212,39.511811
213,40.944935
214,47.725642
215,41.945262
216,51.928847
217,44.638074
218,49.730512
219,57.482688
220,51.328983
221,49.657452
222,38.215783
223,53.674291
224,45.425225
225,43.559619
226,47.809709
227,53.450765
228,62.711114
229,41.488281
230,48.745112
231,54.899791
232,48.373853
233,42.949222
234,41.704925
235,40.609091
236,63.626806
237,44.625871
238,46.786355
239,57.771203
240,49.978708
241,49.407298
242,58.126203
243,54.081769
244,49.984481
245,56.021367
246,44.731131
247,51.411741
248,50.875459
249,50.954485
250,53.444834
251,54.951695
252,46.866405
253,49.074345
254,43.923610
255,60.109158
256,53.581496
257,48.447304
258,48.122830
259,57.351282
260,35.428742
261,59.558088
262,53.455835
263,58.016652
264,39.648355
265,36.873700
266,50.190185
267,42.042275
268,47.782864
269,55.652095
270,47.522435
271,43.965802
272,52.519232
273,39.462983
274,48.242347
275,49.120942
276,43.915869
277,49.192249
278,51.831240
279,59.811798
280,49.622811
281,56.715386
282,48.554911
283,57.576792
284,37.475565
285,56.012614
286,48.564956
287,47.062101
288,58.422855
289,46.200539
290,41.119458
291,58.481717
292,47.805876
293,50.014542
294,44.817280
295,54.063326
296,43.985809
297,45.119467
298,64.521995
299,52.362128
300,39.663942
301,42.951412
302,37.049070
303,43.244606
304,40.247021
305,50.980999
306,36.867906
307,41.720973
308,54.617931
309,38.196252
310,46.309843
311,37.361456
312,33.766435
313,52.793800
314,53.744660
315,54.141044
316,46.515483
317,46.636185
318,60.598726
319,47.203637
320,35.048594
321,44.999635
322,47.547358
323,53.291091
324,46.792979
325,59.914815
326,55.328043
327,49.080749
328,49.946313
329,43.465770
330,57.325795
331,57.156272
332,45.255456
333,46.144855
334,46.615654
335,51.780034
336,47.627460
337,41.600437
338,49.063097
339,57.565637
340,36.576167
341,49.599344
342,50.656165
343,43.779293
344,51.652542
345,40.665585
346,46.984712
347,42.389702
348,50.193846
349,49.188558
350,59.410201
351,49.149690
352,41.643772
353,50.842439
354,48.402087
355,43.769567
356,42.923461
357,49.424583
358,48.176417
359,44.730035
360,52.810562
361,55.449933
362,46.112863
363,39.959602
364,36.584351
365,51.522512
366,42.119135
367,46.585779
368,48.966183
369,42.110469
370,58.260298
371,60.063163
372,56.755132
373,50.036428
374,38.266652
375,51.609593
376,39.841240
377,47.664419
378,52.503565
379,43.764965
380,42.231326
381,47.316222
382,43.313949
383,53.248562
384,47.366066
385,44.483278
386,54.093548
387,54.289722
388,57.185453
389,40.821824
390,50.085166
391,50.307923
392,39.904508
393,48.963824
394,51.306751
395,51.706074
396,46.523689
397,48.589964
398,36.339409
399,47.037988
400,49.735078
401,54.215054
402,52.029850
403,55.640322
404,44.529959
405,47.882110
406,56.685817
407,59.068886
408,55.508233
409,46.456891
410,43.670743
411,43.796890
412,37.598579
413,47.286576
414,60.120183
415,48.114594
416,41.255580
417,40.486043
418,48.170587
419,37.182722
420,52.974922
421,42.485963
422,42.421885
423,59.651039
424,44.831395
425,53.353355
426,36.738403
427,46.408016
428,47.109506
429,43.453106
430,59.841331
431,53.299125
432,34.647991
433,41.131015
434,45.113753
435,53.956786
436,54.276111
437,36.065535
438,48.307756
439,49.625565
440,51.197014
441,44.220141
442,42.836513
443,44.569603
444,41.104740
445,44.658713
446,50.363821
447,41.001433
448,50.727519
449,42.968255
450,37.823253
451,42.885847
452,47.818994
453,48.238085
454,46.264483
455,36.875092
456,51.649973
457,43.849865
458,52.815593
459,52.261895
460,49.861900
461,48.355021
462,37.963632
463,45.709027
464,42.056681
465,45.972202
466,35.692169
467,46.153977
468,56.536420
469,44.104375
470,46.720726
471,48.127172
472,47.242596
473,36.541818
474,39.838344
475,45.602572
476,49.349645
477,59.197045
478,58.040444
479,54.756642
480,57.691453
481,37.338688
482,49.765202
483,57.627427
484,42.455185
485,48.292655
486,51.219420
487,46.659786
488,55.680633
489,47.944004
490,44.107971
491,54.093112
492,48.814385
493,47.635879
494,43.132887
495,56.349470
496,46.645567
497,54.147086
498,39.155720
499,40.325815
500,48.484298
501,53.078467
502,45.293032
503,54.334855
504,52.193143
505,39.054979
506,40.456271
507,43.138406
508,45.669817
509,40.717319
510,50.524000
511,59.376259
512,54.721131
513,52.345113
514,47.376264
515,34.708497
516,43.787205
517,41.519058
518,41.909093
519,52.917301
520,52.338433
521,52.433551
522,34.504375
523,53.501875
524,48.076459
525,41.469120
526,42.633802
527,31.156515
528,34.480471
529,44.888632
530,37.939577
531,43.808758
532,51.975124
533,46.286917
534,37.695543
535,53.958191
536,40.445482
537,49.835706
538,38.638040
539,37.102555
540,47.999686
541,46.191388
542,60.605027
543,43.861588
544,48.825181
545,59.087605
546,52.491919
547,36.403412
548,42.518040
549,56.871902
550,38.823991
551,55.150291
552,56.417092
553,47.693263
554,51.294109
555,50.559125
556,44.118785
557,45.780697
558,51.929173
559,43.914133
560,46.765813
561,54.341214
562,51.402807
563,49.683961
564,51.385489
565,55.152326
566,58.630318
567,45.958827
568,59.426273
569,47.656028
570,45.703488
571,42.687997
572,40.860293
573,41.818613
574,43.020520
575,28.599140
576,41.280727
577,41.798437
578,46.950811
579,50.763384
580,45.207706
581,48.614700
582,45.717582
583,48.828326
584,41.759439
585,37.578664
586,41.262259
587,37.226688
588,49.136728
589,45.864508
590,48.938828
591,33.242726
592,36.765518
593,52.491136
594,43.742986
595,61.530061
596,59.803502
597,43.312545
598,50.142827
599,54.697340
600,56.428759
601,42.649632
602,68.563879
603,57.188441
604,48.432199
605,43.272557
606,47.532098
607,56.706006
608,55.337692
609,43.306032
610,57.949084
611,58.079093
612,51.217045
613,61.394319
614,55.497241
615,51.348267
616,34.903565
617,41.238939
618,51.041663
619,62.785764
620,59.314049
621,35.372980
622,51.694506
623,56.296208
624,62.145983
625,60.278605
626,53.032588
627,61.306192
628,63.604319
629,54.253029
630,52.852245
631,56.050341
632,40.526557
633,42.150391
634,51.674021
635,56.095759
636,43.013782
637,57.683869
638,52.313626
639,44.118527
640,44.367803
641,46.399472
642,40.004882
643,50.921883
644,49.427363
645,50.095253
646,40.877405
647,64.815028
648,66.476663
649,54.396831
650,62.429368
651,47.729383
652,51.167356
653,47.719012
654,52.058743
655,47.861871
656,58.063476
657,48.411496
658,52.642899
659,53.431046
660,41.145856
661,51.777353
662,57.918097
663,48.155345
664,62.522004
665,49.249864
666,61.395912
667,60.205488
668,56.025114
669,63.487958
670,63.945543
671,41.568566
672,45.248705
673,46.857987
674,54.486912
675,53.535072
676,58.824100
677,57.722603
678,59.963591
679,53.765423
680,54.818604
681,48.239452
682,57.932009
683,64.662496
684,62.226475
685,48.031547
686,51.457287
687,46.138503
688,64.143306
689,48.454676
690,59.934272
691,63.136128
692,40.197809
693,58.426650
694,48.528119
695,46.099640
696,57.487839
697,62.125159
698,58.896444
699,39.885502
700,54.300644
701,52.517157
702,51.082640
703,46.531828
704,57.001912
705,46.516002
706,53.185737
707,42.868972
708,41.828891
709,59.827564
710,47.865697
711,54.141394
712,54.932454
713,54.105063
714,41.712018
715,48.434381
716,52.343565
717,59.064324
718,50.778872
719,46.944374
720,41.861227
721,58.895458
722,60.982800
723,48.509773
724,50.327247
725,44.410710
726,56.471605
727,50.506476
728,47.299043
729,64.313885
730,53.649863
731,57.200208
732,46.496318
733,44.078269
734,52.179024
735,52.044846
736,50.099483
737,56.631583
738,63.573710
739,39.801948
740,44.037775
741,55.110581
742,41.824025
743,57.295882
744,54.577835
745,45.506611
746,48.883192
747,48.550076
748,53.682239
749,42.984956
750,52.028587
751,64.958343
752,51.635984
753,48.017499
754,52.507981
755,48.349015
756,60.397402
757,57.054367
758,68.721717
759,41.787658
760,40.321682
761,49.331897
762,44.803271
763,36.073247
764,48.452006
765,40.391513
766,51.841413
767,55.247746
768,54.696728
769,50.111329
770,44.877102
771,42.476210
772,41.867371
773,46.420462
774,64.660214
775,54.249196
776,55.782843
777,62.212619
778,60.780508
779,50.962857
780,36.050545
781,60.932328
782,59.706218
783,55.250954
784,46.819665
785,54.067048
786,48.532589
787,63.576765
788,47.089737
789,41.662009
790,65.339991
791,54.094960
792,53.892075
793,59.356340
794,42.439130
795,41.394537
796,39.801339
797,38.809680
798,44.477281
799,55.015202
800,55.975813
801,44.938828
802,58.954633
803,49.798445
804,68.810737
805,57.719918
806,50.503731
807,39.363194
808,51.349025
809,49.088259
810,43.231323
811,59.238848
812,51.533469
813,50.508459
814,49.830682
815,69.537437
816,63.333811
817,41.127883
818,51.534003
819,63.239058
820,44.943181
821,55.699291
822,46.508311
823,38.276087
824,48.090491
825,46.682860
826,42.820812
827,40.528302
828,45.048745
829,51.143502
830,52.004934
831,55.276619
832,51.296115
833,54.611376
834,43.349137
835,39.095253
836,58.770704
837,50.354317
838,51.916398
839,60.470216
840,59.622938
841,60.861220
842,56.568399
843,53.512311
844,68.240651
845,52.413090
846,49.867955
847,47.473101
848,50.095892
849,51.205226
850,45.255234
851,33.938777
852,59.154854
853,39.958858
854,53.183111
855,58.334038
856,59.954811
857,53.478183
858,49.606107
859,50.759885
860,55.927728
861,46.727976
862,46.447048
863,56.295829
864,54.326271
865,45.643664
866,52.669724
867,39.736100
868,60.510410
869,52.991184
870,66.648143
871,45.160874
872,54.887631
873,57.355273
874,68.410085
875,49.355751
876,58.870065
877,64.429793
878,56.321537
879,54.090362
880,55.050668
881,52.576679
882,58.564552
883,45.727177
884,35.660011
885,43.080945
886,34.882897
887,38.710702
888,39.376602
889,36.247196
890,37.657804
891,31.582551
892,39.774623
893,31.292687
894,32.705219
895,31.742399
896,48.810868
897,37.897135
898,42.091920
899,31.591945
900,35.023482
901,27.690328
902,40.297138
903,45.749735
904,34.755248
905,32.861675
906,42.254931
907,40.010544
908,36.754971
909,43.971710
910,44.213412
911,46.377020
912,39.226908
913,46.386379
914,38.524418
915,39.645395
916,36.851974
917,35.966404
918,32.305466
919,40.895695
920,39.766784
921,33.280595
922,35.353564
923,26.638278
924,52.860054
925,53.208607
926,47.704655
927,44.657886
928,48.645597
929,35.509471
930,42.649982
931,45.366159
932,48.420858
933,36.797260
934,39.882637
935,40.935709
936,39.223523
937,36.205638
938,39.914538
939,41.061997
940,32.919833
941,44.850699
942,48.286877
943,36.904794
944,38.824954
945,37.309597
946,35.571141
947,49.294051
948,37.483915
949,53.320813
950,36.713442
951,47.054483
952,31.509023
953,46.299420
954,46.318148
955,31.186771
956,40.653997
957,43.811297
958,41.529994
959,33.421604
960,34.071202
961,36.843986
962,44.207624
963,49.432983
964,40.620173
965,43.078814
966,38.756535
967,47.010933
968,40.637779
969,39.516474
970,48.816707
971,42.345602
972,41.199097
973,45.748350
974,35.326476
975,41.755877
976,32.536718
977,40.818107
978,38.068937
979,44.528255
980,40.488849
981,40.410088
982,33.462056
983,43.644222
984,36.466109
985,43.943022
986,44.432947
987,42.344863
988,31.703530
989,44.453782
990,33.794150
991,42.161806
992,37.829336
993,34.039792
994,39.487307
995,31.019890
996,39.830337
997,45.065271
998,32.661920
999,30.397728
