Round,SelectedClients
0,5 3 4 1 0
1,8 3 4 5 0
2,3 8 0 4 6
3,9 6 3 0 5
4,3 1 0 8 5
5,9 5 3 4 1
6,0 5 4 2 7
7,4 2 7 5 1
8,4 8 9 2 7
9,3 2 6 1 4
10,6 4 1 5 2
11,2 1 3 9 6
12,6 3 7 2 4
13,4 0 5 8 7
14,5 4 8 9 3
15,0 7 9 3 2
16,2 5 3 9 1
17,9 5 1 7 3
18,0 8 2 9 1
19,9 1 2 6 8
20,9 6 0 5 3
21,5 7 1 3 9
22,6 4 5 8 9
23,6 2 3 5 0
24,7 8 4 5 9
25,1 4 8 0 7
26,7 5 8 1 4
27,3 9 8 1 7
28,6 1 8 2 3
29,7 8 2 5 3
30,6 0 2 1 8
31,6 4 2 1 5
32,1 3 5 7 6
33,2 3 4 7 0
34,6 2 0 1 5
35,8 4 1 7 3
36,7 0 3 9 5
37,2 0 5 9 8
38,1 7 2 4 3
39,5 4 7 2 9
40,1 4 8 3 5
41,1 9 0 5 2
42,5 9 8 0 3
43,9 4 8 2 0
44,0 4 6 3 5
45,5 7 2 6 0
46,9 2 4 0 7
47,1 2 0 7 6
48,0 1 2 7 4
49,6 8 3 0 4
50,9 5 1 3 0
51,9 0 4 6 1
52,9 6 0 5 3
53,8 7 4 0 2
54,2 1 6 3 4
55,4 1 8 3 2
56,6 2 3 7 9
57,2 5 8 4 7
58,6 7 2 5 9
59,7 9 2 8 5
60,6 9 5 2 0
61,1 6 0 9 3
62,1 7 6 5 4
63,0 1 6 4 8
64,6 4 2 7 0
65,3 9 6 0 2
66,0 8 3 2 1
67,1 6 9 5 2
68,7 0 5 6 4
69,5 1 6 3 0
70,6 0 8 3 5
71,5 6 7 8 3
72,0 2 5 6 7
73,6 1 2 8 7
74,0 1 9 5 7
75,4 3 8 9 7
76,4 1 9 0 8
77,1 2 3 0 9
78,4 5 3 8 0
79,6 0 8 3 5
80,6 5 8 3 2
81,9 6 5 7 0
82,7 5 0 3 6
83,3 4 2 1 5
84,2 0 8 7 1
85,1 6 2 0 9
